Actor.java,act,i,int,0,NIL-FOR,$ < n=0.709623038769,i < $=0.159279733896,$ >= 0=0.0224667005241,$=0.0104867834598,$ != 0=0.00376286078244,$ < 0=0.00322960224003,$-- > 0=0.00309507339261,$ == 0=0.00184160086792,$ >= size=0.00121001549996,$ > 0=0.00112828670535,
Actor.java,act,actions,Array<Action>,0,NIL-FOR,$ == null=0.544363677502,$ != null=0.277683466673,$.size == 0=0.0054518035613,$.size++ >= $.threshold=0.00188658048864,$-- > 0=0.00126305769663,$.ordered=0.00120450626127,$ >= size=0.00048715720186,$.drawing=0.000368821521988,$ >= 0=0.000318326608976,$ != 0=0.000297434075037,
Actor.java,act,THIS,Actor,0,DEF,$ == null=0.580926954746,$ != null=0.198731586337,$.size++ >= $.threshold=0.00448644021526,$.ordered=0.00152494234499,$.size == 0=0.00123247399461,$.drawing=0.000466939498438,$-- > 0=0.000466846890049,$ != 0=0.000376560725272,$ > 0=0.000373926915927,$.hasZeroValue=0.000335868127877,
Actor.java,act,action,Action,0,DEF,$ == null=0.572423160076,$ != null=0.266745597124,$.size++ >= $.threshold=0.00327397487126,$.ordered=0.00111282500438,$.size == 0=0.000936697295401,$.drawing=0.00034074857831,$-- > 0=0.000340680999216,$ != 0=0.000274794816505,$ > 0=0.000272872741334,$.hasZeroValue=0.000245099392487,
Actor.java,act,i,int,0,DEF,$ < n=0.674307107925,i < $=0.161345034838,$=0.0138203399256,$ > 0=0.0136152664199,$ != 0=0.00748283881694,$ >= 0=0.00693469587713,$ < 0=0.00491637596861,$ == 0=0.0030576963909,$ >= size=0.00271914899349,$-- > 0=0.00119084201287,
Actor.java,act,actions,Array<Action>,0,DEF,$ == null=0.577153027058,$ != null=0.253835588694,$.size++ >= $.threshold=0.00344049558043,$.ordered=0.00116942543536,$.size == 0=0.000984339509159,$.drawing=0.00035807970562,$-- > 0=0.000358008692274,$ != 0=0.000288771407213,$ > 0=0.000286751601379,$.hasZeroValue=0.000257565610809,
Actor.java,act,delta,float,0,DEF,$=0.0967657491565,$ > 0=0.0362209789455,$ != 0=0.0316769890487,$ == 0=0.0235192701221,$ < 0=0.0191088244319,$.size++ >= $.threshold=0.0109924795106,$ >= 0=0.00478421384469,$.drawing=0.00171912519727,$-- > 0=0.00171878258698,$.hasZeroValue=0.00123656028882,
Actor.java,act,actionIndex,int,0,DEF,i < $=0.403251469135,$ < n=0.208779782057,$=0.0345413349569,$ > 0=0.0207260549068,$ != 0=0.0129710976034,$ < 0=0.0122875543311,$ == 0=0.00926547404379,$ >= size=0.00679599959403,$ >= 0=0.00558992521837,$.size++ >= $.threshold=0.00392385665327,
Actor.java,fire,event,Event,0,DEF,$ == null=0.477082908154,$ != null=0.402711510658,$.size == 0=0.00083710171748,$ > 0=0.000319132494042,$.ordered=0.000287698290776,$-- > 0=0.000263671157882,$ != 0=0.000206331940717,$ == 0=0.000136150192702,$.size++ >= $.threshold=0.000130766013172,$ < 0=0.000124538622913,
Actor.java,fire,parent,Group,0,NIL-WHILE,$ == null=0.525556087494,$ != null=0.326304644346,$.size == 0=0.00100939965341,$ >= 0=0.000406054139603,$.ordered=0.000354477582732,$-- > 0=0.000344653089996,$ != 0=0.000266155111603,$ == 0=0.000151451313286,$.size++ >= $.threshold=0.000148596358486,$ < 0=0.000124631784274,
Actor.java,fire,i,int,0,NIL-FOR,$ < n=0.769558727741,i < $=0.118685290217,$ >= 0=0.032595064491,$=0.00781409535557,$-- > 0=0.00230625527911,$ != 0=0.00210975040682,$ < 0=0.00142257555854,$ == 0=0.00117603992112,$ > 0=0.00104889541399,$ >= size=0.0009016279364,
Actor.java,fire,event,Event,0,RET,$ == null=0.610641002655,$ != null=0.204637438059,$.size == 0=0.00110590551049,$-- > 0=0.000448939914349,$.ordered=0.000442677672254,key.equals(keyTable[$])=0.000373772287276,$ >= 0=0.000366028310964,$ != 0=0.000317480327794,$ == 0=0.000191845218069,$.size++ >= $.threshold=0.000185569864698,
Actor.java,fire,event,Event,0,RET,$ == null=0.610641002655,$ != null=0.204637438059,$.size == 0=0.00110590551049,$-- > 0=0.000448939914349,$.ordered=0.000442677672254,key.equals(keyTable[$])=0.000373772287276,$ >= 0=0.000366028310964,$ != 0=0.000317480327794,$ == 0=0.000191845218069,$.size++ >= $.threshold=0.000185569864698,
Actor.java,fire,event,Event,0,RET,$ == null=0.610641002655,$ != null=0.204637438059,$.size == 0=0.00110590551049,$-- > 0=0.000448939914349,$.ordered=0.000442677672254,key.equals(keyTable[$])=0.000373772287276,$ >= 0=0.000366028310964,$ != 0=0.000317480327794,$ == 0=0.000191845218069,$.size++ >= $.threshold=0.000185569864698,
Actor.java,fire,i,int,0,NIL-FOR,$ < n=0.769558727741,i < $=0.118685290217,$ >= 0=0.032595064491,$=0.00781409535557,$-- > 0=0.00230625527911,$ != 0=0.00210975040682,$ < 0=0.00142257555854,$ == 0=0.00117603992112,$ > 0=0.00104889541399,$ >= size=0.0009016279364,
Actor.java,fire,n,int,0,NIL-FOR,i < $=0.975534200668,$ < n=0.00937810447067,$=0.00145243585575,$ < 0=0.000402127421694,$ != 0=0.000384374114219,$ == 0=0.000360306061339,$ > 0=0.000298986356938,$ >= 0=0.000281095999526,$ >= size=0.000167589038028,$-- > 0=0.000130430620629,
Actor.java,fire,event,Event,0,RET,$ == null=0.610641002655,$ != null=0.204637438059,$.size == 0=0.00110590551049,$-- > 0=0.000448939914349,$.ordered=0.000442677672254,key.equals(keyTable[$])=0.000373772287276,$ >= 0=0.000366028310964,$ != 0=0.000317480327794,$ == 0=0.000191845218069,$.size++ >= $.threshold=0.000185569864698,
Actor.java,notify,listeners,DelayedRemovalArray<EventListener>,0,RET,$ == null=0.653115689754,$ != null=0.18117955327,$.size == 0=0.00143683457281,$ == 0=0.00100391579326,$.ordered=0.000394977862015,$ >= 0=0.000273308658507,$ != 0=0.000170035244082,$.size++ >= $.threshold=0.000165574165294,$ < 0=0.00013834265701,$=0.000132370303618,
Actor.java,notify,event,Event,0,DEF,$ == null=0.460559159517,$ != null=0.423549175262,$.size == 0=0.000676716968883,$.ordered=0.000277733866824,$-- > 0=0.000254538899753,$ > 0=0.000252801692113,$ == 0=0.000166897414601,$ >= 0=0.000131862383569,$ != 0=0.000130119369715,$.size++ >= $.threshold=0.000126236947835,
Actor.java,notify,i,int,0,NIL-FOR,$ < n=0.779981911182,i < $=0.120292812586,$ >= 0=0.0204301271588,$=0.00791993271559,$-- > 0=0.00233749207109,$ == 0=0.00154789781664,$ < 0=0.00151119299699,$ != 0=0.00106726132799,$ >= size=0.000913839961868,$ > 0=0.000750365201384,
Actor.java,notify,n,int,0,NIL-FOR,i < $=0.985993504524,$ < n=0.00541576230898,$=0.000838767213281,$ == 0=0.000254160957411,$ < 0=0.000232224454521,$ > 0=0.000159934963449,$ >= 0=0.000121937991935,$ != 0=0.00010455683514,$ >= size=9.67810046859e-05,$-- > 0=7.53223939682e-05,
Actor.java,notify,event,Event,0,DEF,$ == null=0.460559159517,$ != null=0.423549175262,$.size == 0=0.000676716968883,$.ordered=0.000277733866824,$-- > 0=0.000254538899753,$ > 0=0.000252801692113,$ == 0=0.000166897414601,$ >= 0=0.000131862383569,$ != 0=0.000130119369715,$.size++ >= $.threshold=0.000126236947835,
Actor.java,hit,touchable,boolean,0,RET,$=0.469620227814,$ >= 0=0.00354942912236,$ < 0=0.00139456253964,$ != 0=0.000805118994322,$ == 0=0.000653960276395,$.size == 0=0.000537946412805,$.size++ >= $.threshold=0.000531026220415,$ >= size=0.000419749703724,$.drawing=0.000405282335123,$ == EMPTY=0.000376520183636,
Actor.java,remove,THIS,Actor,0,RET,$ == null=0.569760382175,$ != null=0.194911569357,$.size == 0=0.0227881204337,$.size++ >= $.threshold=0.00178831641097,$.ordered=0.00149562989827,$ == 0=0.000923897721805,$-- > 0=0.000506664509885,$.drawing=0.00045796399354,key.equals(keyTable[$])=0.000421831820859,$.hasZeroValue=0.000329412083374,
Actor.java,addListener,listener,EventListener,0,IllegalArgumentException,$ == null=0.75107729435,$ != null=0.173104643822,$.size == 0=0.000478486268548,$.ordered=0.000181478972081,$ < 0=0.000176009882125,$ != 0=0.000126722108689,$.size++ >= $.threshold=0.000100350080174,$ == 0=9.77493327809e-05,$ >= 0=7.40973846405e-05,$ >= size=7.38059025025e-05,
Actor.java,removeListener,listener,EventListener,0,IllegalArgumentException,$ == null=0.851989984512,$ != null=0.101668000221,$.size == 0=0.000283386005322,$.ordered=0.000111156252387,$ < 0=8.98063954082e-05,$ == 0=8.58338098624e-05,$ >= 0=5.48478856217e-05,$ != 0=4.78520450997e-05,$.size++ >= $.threshold=4.69222504762e-05,$ >= size=4.52063140983e-05,
Actor.java,addCaptureListener,listener,EventListener,0,IllegalArgumentException,$ == null=0.75107729435,$ != null=0.173104643822,$.size == 0=0.000478486268548,$.ordered=0.000181478972081,$ < 0=0.000176009882125,$ != 0=0.000126722108689,$.size++ >= $.threshold=0.000100350080174,$ == 0=9.77493327809e-05,$ >= 0=7.40973846405e-05,$ >= size=7.38059025025e-05,
Actor.java,removeCaptureListener,listener,EventListener,0,IllegalArgumentException,$ == null=0.851989984512,$ != null=0.101668000221,$.size == 0=0.000283386005322,$.ordered=0.000111156252387,$ < 0=8.98063954082e-05,$ == 0=8.58338098624e-05,$ >= 0=5.48478856217e-05,$ != 0=4.78520450997e-05,$.size++ >= $.threshold=4.69222504762e-05,$ >= size=4.52063140983e-05,
Actor.java,addAction,THIS,Actor,0,DEF,$ == null=0.580939531326,$ != null=0.198735892773,$.size++ >= $.threshold=0.00448653753847,$.ordered=0.00152497540694,$.size == 0=0.00123250077013,$.drawing=0.000466949626571,$-- > 0=0.000466856989078,$ != 0=0.000376568903448,$ > 0=0.000373935006792,$.hasZeroValue=0.000335875403835,
Actor.java,addAction,THIS,Actor,0,DEF,$ == null=0.580939531326,$ != null=0.198735892773,$.size++ >= $.threshold=0.00448653753847,$.ordered=0.00152497540694,$.size == 0=0.00123250077013,$.drawing=0.000466949626571,$-- > 0=0.000466856989078,$ != 0=0.000376568903448,$ > 0=0.000373935006792,$.hasZeroValue=0.000335875403835,
Actor.java,clearActions,i,int,0,NIL-FOR,$ < n=0.690363168716,i < $=0.15495672822,$ >= 0=0.0498972162604,$=0.0102021619678,$ != 0=0.00366073311307,$-- > 0=0.00301107019186,$ < 0=0.00215788069181,$ == 0=0.0016306117177,$ > 0=0.0013694484951,$ >= size=0.00117717462126,
Actor.java,isDescendantOf,actor,Actor,0,IllegalArgumentException,$ == null=0.768458664417,$ != null=0.14424982667,$.size++ >= $.threshold=0.000729513645638,$.ordered=0.000614382384811,$.size == 0=0.000527217867784,$ < 0=0.000269749842118,$.drawing=0.000188124744454,$-- > 0=0.000188087447896,$ != 0=0.000151712156367,$.hasZeroValue=0.000135317546665,
Actor.java,isDescendantOf,parent,Actor,0,RET,$ == null=0.6646515131,$ != null=0.201952800155,$.size == 0=0.00116280431394,$ >= 0=0.000546724011656,$.ordered=0.000319648475852,$ != 0=0.000240004126681,$ == 0=0.000230420439038,$.size++ >= $.threshold=0.000133996189106,$ < 0=0.000111958215712,$=0.000107124898932,
Actor.java,isAscendantOf,actor,Actor,0,IllegalArgumentException,$ == null=0.768458664417,$ != null=0.14424982667,$.size++ >= $.threshold=0.000729513645638,$.ordered=0.000614382384811,$.size == 0=0.000527217867784,$ < 0=0.000269749842118,$.drawing=0.000188124744454,$-- > 0=0.000188087447896,$ != 0=0.000151712156367,$.hasZeroValue=0.000135317546665,
Actor.java,isAscendantOf,actor,Actor,0,RET,$ == null=0.631591916084,$ != null=0.206809282303,$.size == 0=0.00573782762513,$.size++ >= $.threshold=0.00130868365522,$.ordered=0.00110214832239,$-- > 0=0.000373367365682,$.drawing=0.000337479374139,$ == 0=0.000335533957696,key.equals(keyTable[$])=0.000310853123665,$ >= 0=0.000308834045427,
Actor.java,isAscendantOf,THIS,Actor,0,RET,$ == null=0.575713098049,$ != null=0.196947947145,$.size == 0=0.0136238075793,$.size++ >= $.threshold=0.00179445534013,$.ordered=0.00151125586126,$-- > 0=0.000511957972776,$.drawing=0.000462748692371,$ == 0=0.000460081151687,key.equals(keyTable[$])=0.000426239013905,$ >= 0=0.000423470482929,
Actor.java,isAscendantOf,actor,Actor,0,RET,$ == null=0.631591916084,$ != null=0.206809282303,$.size == 0=0.00573782762513,$.size++ >= $.threshold=0.00130868365522,$.ordered=0.00110214832239,$-- > 0=0.000373367365682,$.drawing=0.000337479374139,$ == 0=0.000335533957696,key.equals(keyTable[$])=0.000310853123665,$ >= 0=0.000308834045427,
Actor.java,firstAscendant,type,Class<T>,0,IllegalArgumentException,$ == null=0.848940432072,$ != null=0.0926984995604,$.size == 0=0.000357621960575,$.ordered=0.000140274743899,$ >= 0=0.000126419385197,$ != 0=8.77912389114e-05,$ == 0=6.32838491583e-05,$ < 0=5.94017292315e-05,$.size++ >= $.threshold=5.88029215578e-05,$ >= size=5.70485572098e-05,
Actor.java,firstAscendant,actor,Actor,0,NIL-DOWHILE,$ == null=0.538449108601,$ != null=0.300953984261,$.size == 0=0.00545242382213,$.size++ >= $.threshold=0.00130133249331,$.ordered=0.00109595712274,$ >= size=0.000443255004939,$.drawing=0.000335583637934,$-- > 0=0.00033551704837,$ != 0=0.000270629534498,$.hasZeroValue=0.000241384244873,
Actor.java,firstAscendant,actor,Actor,0,RET,$ == null=0.575703680515,$ != null=0.25276362896,$.size == 0=0.00552452541888,$.size++ >= $.threshold=0.00139136984944,$.ordered=0.00117178494111,$-- > 0=0.00039695770829,$.drawing=0.000358802208211,key.equals(keyTable[$])=0.000330493639922,$ == 0=0.000327272660797,$ >= 0=0.000309679016937,
Actor.java,getX,THIS,Actor,1,DEF,$ == null=0.583053290844,$ != null=0.199458986521,$.size++ >= $.threshold=0.00195780978538,$.ordered=0.00153052399401,$.size == 0=0.00126108236145,$.drawing=0.000468648591777,$-- > 0=0.000468555634143,$ > 0=0.000408757507103,$ != 0=0.000377939024474,$.hasZeroValue=0.000337097473675,
Actor.java,getX,alignment,int,1,DEF,i < $=0.406675159931,$ < n=0.210552364588,$=0.0348345972598,$ < 0=0.0188258197159,$ != 0=0.0130812255666,$ > 0=0.0108785470948,$ == 0=0.00738014746457,$ >= size=0.00685369921848,$ >= 0=0.0056983390823,$-- > 0=0.00294866296463,
Actor.java,getX,THIS,Actor,0,DEF,$ == null=0.582926094532,$ != null=0.19941547513,$.size++ >= $.threshold=0.00197005574591,$.ordered=0.00153019011486,$.size == 0=0.00126080727205,$ > 0=0.000600185303483,$.drawing=0.000468546379125,$-- > 0=0.00046845342149,$ != 0=0.000377856602427,$.hasZeroValue=0.000337023928296,
Actor.java,getX,alignment,int,0,DEF,i < $=0.402390211821,$ < n=0.208333879709,$=0.0344675630331,$ > 0=0.0207206327468,$ < 0=0.018627461046,$ != 0=0.0129433944821,$ == 0=0.00785199645907,$ >= size=0.00678148493171,$ >= 0=0.00563829857856,$-- > 0=0.00291759427637,
Actor.java,setX,THIS,Actor,0,DEF,$ == null=0.582512915134,$ != null=0.199274122715,$.size++ >= $.threshold=0.00216234102845,$.ordered=0.00152910535689,$.size == 0=0.00125991355162,$.drawing=0.000468214246212,$-- > 0=0.000468121375889,$.hasZeroValue=0.000336785044055,$ > 0=0.000314688513754,$ >= 0=0.000284267007373,
Actor.java,setX,x,float,0,DEF,$=0.101612657309,$ != 0=0.028885602951,$ > 0=0.0227435790002,$ == 0=0.0216863825917,$ >= 0=0.0124633852392,$ < 0=0.00560877239332,$.size++ >= $.threshold=0.00085378671065,$.size == 0=0.000835195067339,$ == null=0.000820702465717,$ >= size=0.00080091599375,
Actor.java,setY,THIS,Actor,0,DEF,$ == null=0.582512915134,$ != null=0.199274122715,$.size++ >= $.threshold=0.00216234102845,$.ordered=0.00152910535689,$.size == 0=0.00125991355162,$.drawing=0.000468214246212,$-- > 0=0.000468121375889,$.hasZeroValue=0.000336785044055,$ > 0=0.000314688513754,$ >= 0=0.000284267007373,
Actor.java,setY,y,float,0,DEF,$=0.101612657309,$ != 0=0.028885602951,$ > 0=0.0227435790002,$ == 0=0.0216863825917,$ >= 0=0.0124633852392,$ < 0=0.00560877239332,$.size++ >= $.threshold=0.00085378671065,$.size == 0=0.000835195067339,$ == null=0.000820702465717,$ >= size=0.00080091599375,
Actor.java,getY,THIS,Actor,1,DEF,$ == null=0.583053290844,$ != null=0.199458986521,$.size++ >= $.threshold=0.00195780978538,$.ordered=0.00153052399401,$.size == 0=0.00126108236145,$.drawing=0.000468648591777,$-- > 0=0.000468555634143,$ > 0=0.000408757507103,$ != 0=0.000377939024474,$.hasZeroValue=0.000337097473675,
Actor.java,getY,alignment,int,1,DEF,i < $=0.406675159931,$ < n=0.210552364588,$=0.0348345972598,$ < 0=0.0188258197159,$ != 0=0.0130812255666,$ > 0=0.0108785470948,$ == 0=0.00738014746457,$ >= size=0.00685369921848,$ >= 0=0.0056983390823,$-- > 0=0.00294866296463,
Actor.java,getY,THIS,Actor,0,DEF,$ == null=0.582926094532,$ != null=0.19941547513,$.size++ >= $.threshold=0.00197005574591,$.ordered=0.00153019011486,$.size == 0=0.00126080727205,$ > 0=0.000600185303483,$.drawing=0.000468546379125,$-- > 0=0.00046845342149,$ != 0=0.000377856602427,$.hasZeroValue=0.000337023928296,
Actor.java,getY,alignment,int,0,DEF,i < $=0.402390211821,$ < n=0.208333879709,$=0.0344675630331,$ > 0=0.0207206327468,$ < 0=0.018627461046,$ != 0=0.0129433944821,$ == 0=0.00785199645907,$ >= size=0.00678148493171,$ >= 0=0.00563829857856,$-- > 0=0.00291759427637,
Actor.java,setPosition,THIS,Actor,0,DEF,$ == null=0.582563042641,$ != null=0.19929125905,$.size++ >= $.threshold=0.00216252706014,$.ordered=0.00152923702262,$.size == 0=0.00126002193429,$.drawing=0.000468254525913,$-- > 0=0.00046816165559,$.hasZeroValue=0.000336814031471,$ > 0=0.000314715580316,key.equals($.keyTable[index])=0.000277434941381,
Actor.java,setPosition,THIS,Actor,0,DEF,$ == null=0.582563042641,$ != null=0.19929125905,$.size++ >= $.threshold=0.00216252706014,$.ordered=0.00152923702262,$.size == 0=0.00126002193429,$.drawing=0.000468254525913,$-- > 0=0.00046816165559,$.hasZeroValue=0.000336814031471,$ > 0=0.000314715580316,key.equals($.keyTable[index])=0.000277434941381,
Actor.java,setPosition,x,float,0,DEF,$=0.102223820984,$ != 0=0.0253280512989,$ > 0=0.0228803735226,$ == 0=0.0218168180436,$ >= 0=0.0102550340816,$ < 0=0.00564250722528,$.size++ >= $.threshold=0.000858921906911,$.size == 0=0.000840218446683,$ == null=0.000825638708193,$ >= size=0.00080573320156,
Actor.java,setPosition,y,float,0,DEF,$=0.102223820984,$ != 0=0.0253280512989,$ > 0=0.0228803735226,$ == 0=0.0218168180436,$ >= 0=0.0102550340816,$ < 0=0.00564250722528,$.size++ >= $.threshold=0.000858921906911,$.size == 0=0.000840218446683,$ == null=0.000825638708193,$ >= size=0.00080573320156,
Actor.java,setPosition,THIS,Actor,1,DEF,$ == null=0.582499086857,$ != null=0.199269384146,$.size++ >= $.threshold=0.00214838027023,$.ordered=0.00152906915173,$.size == 0=0.00125988363288,$.drawing=0.000468203128548,$-- > 0=0.000468110258225,$ == 0=0.000396903196815,$.hasZeroValue=0.000336777040502,$ > 0=0.000311090989271,
Actor.java,setPosition,alignment,int,1,DEF,i < $=0.409376680851,$ < n=0.211951047182,$=0.0350660048425,$ == 0=0.0148271918297,$ > 0=0.0114305270836,$ < 0=0.00967188645154,$ >= size=0.00689922785386,$ >= 0=0.00620832201093,$ != 0=0.00620265258476,$-- > 0=0.00296825077385,
Actor.java,setPosition,THIS,Actor,0,DEF,$ == null=0.582563042641,$ != null=0.19929125905,$.size++ >= $.threshold=0.00216252706014,$.ordered=0.00152923702262,$.size == 0=0.00126002193429,$.drawing=0.000468254525913,$-- > 0=0.00046816165559,$.hasZeroValue=0.000336814031471,$ > 0=0.000314715580316,key.equals($.keyTable[index])=0.000277434941381,
Actor.java,setPosition,alignment,int,0,DEF,i < $=0.408794939518,$ < n=0.211649864912,$=0.0350161716342,$ > 0=0.0151338549331,$ == 0=0.0124621260911,$ < 0=0.00965814199299,$ >= size=0.00688942382112,$ >= 0=0.00619950005785,$ != 0=0.00619383854792,$-- > 0=0.00296403281391,
Actor.java,setPosition,THIS,Actor,1,DEF,$ == null=0.582499086857,$ != null=0.199269384146,$.size++ >= $.threshold=0.00214838027023,$.ordered=0.00152906915173,$.size == 0=0.00125988363288,$.drawing=0.000468203128548,$-- > 0=0.000468110258225,$ == 0=0.000396903196815,$.hasZeroValue=0.000336777040502,$ > 0=0.000311090989271,
Actor.java,setPosition,alignment,int,1,DEF,i < $=0.409376680851,$ < n=0.211951047182,$=0.0350660048425,$ == 0=0.0148271918297,$ > 0=0.0114305270836,$ < 0=0.00967188645154,$ >= size=0.00689922785386,$ >= 0=0.00620832201093,$ != 0=0.00620265258476,$-- > 0=0.00296825077385,
Actor.java,setPosition,THIS,Actor,0,DEF,$ == null=0.582563042641,$ != null=0.19929125905,$.size++ >= $.threshold=0.00216252706014,$.ordered=0.00152923702262,$.size == 0=0.00126002193429,$.drawing=0.000468254525913,$-- > 0=0.00046816165559,$.hasZeroValue=0.000336814031471,$ > 0=0.000314715580316,key.equals($.keyTable[index])=0.000277434941381,
Actor.java,setPosition,alignment,int,0,DEF,i < $=0.408794939518,$ < n=0.211649864912,$=0.0350161716342,$ > 0=0.0151338549331,$ == 0=0.0124621260911,$ < 0=0.00965814199299,$ >= size=0.00688942382112,$ >= 0=0.00619950005785,$ != 0=0.00619383854792,$-- > 0=0.00296403281391,
Actor.java,setPosition,THIS,Actor,0,DEF,$ == null=0.582563042641,$ != null=0.19929125905,$.size++ >= $.threshold=0.00216252706014,$.ordered=0.00152923702262,$.size == 0=0.00126002193429,$.drawing=0.000468254525913,$-- > 0=0.00046816165559,$.hasZeroValue=0.000336814031471,$ > 0=0.000314715580316,key.equals($.keyTable[index])=0.000277434941381,
Actor.java,setPosition,THIS,Actor,0,DEF,$ == null=0.582563042641,$ != null=0.19929125905,$.size++ >= $.threshold=0.00216252706014,$.ordered=0.00152923702262,$.size == 0=0.00126002193429,$.drawing=0.000468254525913,$-- > 0=0.00046816165559,$.hasZeroValue=0.000336814031471,$ > 0=0.000314715580316,key.equals($.keyTable[index])=0.000277434941381,
Actor.java,setPosition,x,float,0,DEF,$=0.102223820984,$ != 0=0.0253280512989,$ > 0=0.0228803735226,$ == 0=0.0218168180436,$ >= 0=0.0102550340816,$ < 0=0.00564250722528,$.size++ >= $.threshold=0.000858921906911,$.size == 0=0.000840218446683,$ == null=0.000825638708193,$ >= size=0.00080573320156,
Actor.java,setPosition,y,float,0,DEF,$=0.102223820984,$ != 0=0.0253280512989,$ > 0=0.0228803735226,$ == 0=0.0218168180436,$ >= 0=0.0102550340816,$ < 0=0.00564250722528,$.size++ >= $.threshold=0.000858921906911,$.size == 0=0.000840218446683,$ == null=0.000825638708193,$ >= size=0.00080573320156,
Actor.java,moveBy,x,float,0,DEF,$=0.101665064692,$ > 0=0.0277565978467,$ != 0=0.0269814711064,$ == 0=0.0207195468247,$ >= 0=0.00804998353124,$ < 0=0.00742653431371,$.size++ >= $.threshold=0.000839236774482,$.size == 0=0.000835625745822,$ == null=0.000821125751827,$ >= size=0.000801329035312,
Actor.java,moveBy,y,float,0,DEF,$=0.101665064692,$ > 0=0.0277565978467,$ != 0=0.0269814711064,$ == 0=0.0207195468247,$ >= 0=0.00804998353124,$ < 0=0.00742653431371,$.size++ >= $.threshold=0.000839236774482,$.size == 0=0.000835625745822,$ == null=0.000821125751827,$ >= size=0.000801329035312,
Actor.java,setWidth,THIS,Actor,0,DEF,$ == null=0.582512915134,$ != null=0.199274122715,$.size++ >= $.threshold=0.00216234102845,$.ordered=0.00152910535689,$.size == 0=0.00125991355162,$.drawing=0.000468214246212,$-- > 0=0.000468121375889,$.hasZeroValue=0.000336785044055,$ > 0=0.000314688513754,$ >= 0=0.000284267007373,
Actor.java,setWidth,width,float,0,DEF,$=0.101366572082,$ == 0=0.0269371941686,$ != 0=0.0259341448545,$ > 0=0.0226884987205,$ >= 0=0.0124332020059,$ < 0=0.00559518905357,$.size++ >= $.threshold=0.000851718999911,$.size == 0=0.00083317240933,$ == null=0.000818714906927,$ >= size=0.000798976339865,
