12940	AbstractFieldMatrix.java	setSubMatrix	i	int	0	NIL-FOR	$ < nRows
12940	AbstractFieldMatrix.java	setSubMatrix	nRows	int	0	NIL-FOR	i < $
12941	AbstractFieldMatrix.java	setSubMatrix	j	int	0	NIL-FOR	$ < nCols
12941	AbstractFieldMatrix.java	setSubMatrix	nCols	int	0	NIL-FOR	j < $
12942	AbstractFieldMatrix.java	getRowMatrix	i	int	0	NIL-FOR	$ < nCols
12942	AbstractFieldMatrix.java	getRowMatrix	nCols	int	0	NIL-FOR	i < $
12943	AbstractFieldMatrix.java	setRowMatrix	i	int	0	NIL-FOR	$ < nCols
12943	AbstractFieldMatrix.java	setRowMatrix	nCols	int	0	NIL-FOR	i < $
12944	AbstractFieldMatrix.java	getColumnMatrix	i	int	0	NIL-FOR	$ < nRows
12944	AbstractFieldMatrix.java	getColumnMatrix	nRows	int	0	NIL-FOR	i < $
12945	AbstractFieldMatrix.java	setColumnMatrix	i	int	0	NIL-FOR	$ < nRows
12945	AbstractFieldMatrix.java	setColumnMatrix	nRows	int	0	NIL-FOR	i < $
12946	AbstractFieldMatrix.java	setRowVector	i	int	0	NIL-FOR	$ < nCols
12946	AbstractFieldMatrix.java	setRowVector	nCols	int	0	NIL-FOR	i < $
12947	AbstractFieldMatrix.java	setColumnVector	i	int	0	NIL-FOR	$ < nRows
12947	AbstractFieldMatrix.java	setColumnVector	nRows	int	0	NIL-FOR	i < $
12948	AbstractFieldMatrix.java	getRow	i	int	0	NIL-FOR	$ < nCols
12948	AbstractFieldMatrix.java	getRow	nCols	int	0	NIL-FOR	i < $
12949	AbstractFieldMatrix.java	setRow	i	int	0	NIL-FOR	$ < nCols
12949	AbstractFieldMatrix.java	setRow	nCols	int	0	NIL-FOR	i < $
12950	AbstractFieldMatrix.java	getColumn	i	int	0	NIL-FOR	$ < nRows
12950	AbstractFieldMatrix.java	getColumn	nRows	int	0	NIL-FOR	i < $
12951	AbstractFieldMatrix.java	setColumn	i	int	0	NIL-FOR	$ < nRows
12951	AbstractFieldMatrix.java	setColumn	nRows	int	0	NIL-FOR	i < $
12952	AbstractFieldMatrix.java	getTrace	i	int	0	NIL-FOR	$ < nRows
12952	AbstractFieldMatrix.java	getTrace	nRows	int	0	NIL-FOR	i < $
12953	AbstractFieldMatrix.java	operate	row	int	0	NIL-FOR	$ < nRows
12953	AbstractFieldMatrix.java	operate	nRows	int	0	NIL-FOR	row < $
12954	AbstractFieldMatrix.java	operate	i	int	0	NIL-FOR	$ < nCols
12954	AbstractFieldMatrix.java	operate	nCols	int	0	NIL-FOR	i < $
12955	AbstractFieldMatrix.java	operate	row	int	0	NIL-FOR	$ < nRows
12955	AbstractFieldMatrix.java	operate	nRows	int	0	NIL-FOR	row < $
12956	AbstractFieldMatrix.java	operate	i	int	0	NIL-FOR	$ < nCols
12956	AbstractFieldMatrix.java	operate	nCols	int	0	NIL-FOR	i < $
12957	AbstractFieldMatrix.java	preMultiply	col	int	0	NIL-FOR	$ < nCols
12957	AbstractFieldMatrix.java	preMultiply	nCols	int	0	NIL-FOR	col < $
12958	AbstractFieldMatrix.java	preMultiply	i	int	0	NIL-FOR	$ < nRows
12958	AbstractFieldMatrix.java	preMultiply	nRows	int	0	NIL-FOR	i < $
12959	AbstractFieldMatrix.java	preMultiply	col	int	0	NIL-FOR	$ < nCols
12959	AbstractFieldMatrix.java	preMultiply	nCols	int	0	NIL-FOR	col < $
12960	AbstractFieldMatrix.java	preMultiply	i	int	0	NIL-FOR	$ < nRows
12960	AbstractFieldMatrix.java	preMultiply	nRows	int	0	NIL-FOR	i < $
12961	AbstractFieldMatrix.java	walkInRowOrder	row	int	0	NIL-FOR	$ < rows
12961	AbstractFieldMatrix.java	walkInRowOrder	rows	int	0	NIL-FOR	row < $
12963	AbstractFieldMatrix.java	walkInRowOrder	row	int	0	NIL-FOR	$ < rows
12963	AbstractFieldMatrix.java	walkInRowOrder	rows	int	0	NIL-FOR	row < $
12970	AbstractFieldMatrix.java	walkInColumnOrder	row	int	0	NIL-FOR	$ < rows
12970	AbstractFieldMatrix.java	walkInColumnOrder	rows	int	0	NIL-FOR	row < $
12972	AbstractFieldMatrix.java	walkInColumnOrder	row	int	0	NIL-FOR	$ < rows
12972	AbstractFieldMatrix.java	walkInColumnOrder	rows	int	0	NIL-FOR	row < $
12977	AbstractFieldMatrix.java	toString	i	int	0	NIL-FOR	$ < nRows
12977	AbstractFieldMatrix.java	toString	nRows	int	0	NIL-FOR	i < $
1555	AbstractFieldMatrix.java	toString	i	int	0	DEF	$ > 0
12978	AbstractFieldMatrix.java	toString	j	int	0	NIL-FOR	$ < nCols
12978	AbstractFieldMatrix.java	toString	nCols	int	0	NIL-FOR	j < $
1556	AbstractFieldMatrix.java	toString	j	int	0	DEF	$ > 0
12979	AbstractFieldMatrix.java	equals	row	int	0	NIL-FOR	$ < nRows
12979	AbstractFieldMatrix.java	equals	nRows	int	0	NIL-FOR	row < $
12980	AbstractFieldMatrix.java	equals	col	int	0	NIL-FOR	$ < nCols
12980	AbstractFieldMatrix.java	equals	nCols	int	0	NIL-FOR	col < $
12981	AbstractFieldMatrix.java	hashCode	row	int	0	NIL-FOR	$ < nRows
12981	AbstractFieldMatrix.java	hashCode	nRows	int	0	NIL-FOR	row < $
12982	AbstractFieldMatrix.java	hashCode	col	int	0	NIL-FOR	$ < nCols
12982	AbstractFieldMatrix.java	hashCode	nCols	int	0	NIL-FOR	col < $
1561	AbstractFieldMatrix.java	checkRowIndex	row	int	0	OutOfRangeException	$ < 0
1562	AbstractFieldMatrix.java	checkColumnIndex	column	int	0	OutOfRangeException	$ < 0
1565	AbstractFieldMatrix.java	checkSubMatrixIndex	selectedRows	int[]	0	NullArgumentException	$ == null
1565	AbstractFieldMatrix.java	checkSubMatrixIndex	selectedColumns	int[]	0	NullArgumentException	$ == null
1566	AbstractFieldMatrix.java	checkSubMatrixIndex	selectedRows	int[]	0	NoDataException	$.length == 0
1566	AbstractFieldMatrix.java	checkSubMatrixIndex	selectedColumns	int[]	0	NoDataException	$.length == 0
1007	AbstractFormat.java	setDenominatorFormat	format	NumberFormat	0	NullArgumentException	$ == null
1008	AbstractFormat.java	setNumeratorFormat	format	NumberFormat	0	NullArgumentException	$ == null
1009	AbstractFormat.java	parseNextCharacter	index	int	0	DEF	$ < n
12457	AbstractFormat.java	parseNextCharacter	index	int	0	NIL-DOWHILE	$ < n
1010	AbstractFormat.java	parseNextCharacter	index	int	0	DEF	$ < n
1087	AbstractIntegerDistribution.java	inverseCumulativeProbability	p	double	0	OutOfRangeException	$ < 0.0
1088	AbstractIntegerDistribution.java	inverseCumulativeProbability	p	double	0	RET	$ == 0.0
1092	AbstractIntegerDistribution.java	inverseCumulativeProbability	chebyshevApplies	boolean	0	DEF	$
1097	AbstractIntegerDistribution.java	sample	sampleSize	int	0	NotStrictlyPositiveException	$ <= 0
12468	AbstractIntegerDistribution.java	sample	sampleSize	int	0	NIL-FOR	i < $
1098	AbstractIntegerDistribution.java	checkedCumulativeProbability	result	double	0	MathInternalError	Double.isNaN($)
3531	AbstractIntegrator.java	acceptStep	needReset	boolean	0	RET	$
14143	AbstractLeastSquaresOptimizer.java	computeSigma	i	int	0	NIL-FOR	$ < nC
14143	AbstractLeastSquaresOptimizer.java	computeSigma	nC	int	0	NIL-FOR	i < $
14144	AbstractLeastSquaresOptimizer.java	computeResiduals	target	double[]	0	NIL-FOR	i < $.length
14145	AbstractLeastSquaresOptimizer.java	squareRoot	i	int	0	NIL-FOR	$ < dim
14145	AbstractLeastSquaresOptimizer.java	squareRoot	dim	int	0	NIL-FOR	i < $
13425	AbstractLeastSquaresOptimizer.java	computeWeightedJacobian	i	int	0	NIL-FOR	$ < nC
13425	AbstractLeastSquaresOptimizer.java	computeWeightedJacobian	nC	int	0	NIL-FOR	i < $
13426	AbstractLeastSquaresOptimizer.java	computeWeightedJacobian	nR	int	0	NIL-FOR	i < $
13427	AbstractLeastSquaresOptimizer.java	computeWeightedJacobian	j	int	0	NIL-FOR	$ < nC
13427	AbstractLeastSquaresOptimizer.java	computeWeightedJacobian	nC	int	0	NIL-FOR	j < $
13428	AbstractLeastSquaresOptimizer.java	guessParametersErrors	errors	double[]	0	NIL-FOR	i < $.length
13429	AbstractLeastSquaresOptimizer.java	computeSigma	i	int	0	NIL-FOR	$ < nC
13429	AbstractLeastSquaresOptimizer.java	computeSigma	nC	int	0	NIL-FOR	i < $
13430	AbstractLeastSquaresOptimizer.java	computeResiduals	target	double[]	0	NIL-FOR	i < $.length
13431	AbstractLeastSquaresOptimizer.java	squareRoot	i	int	0	NIL-FOR	$ < dim
13431	AbstractLeastSquaresOptimizer.java	squareRoot	dim	int	0	NIL-FOR	i < $
2600	AbstractMultipleLinearRegression.java	newSampleData	data	double[]	0	NullArgumentException	$ == null
13833	AbstractMultipleLinearRegression.java	newSampleData	nobs	int	0	NIL-FOR	i < $
13834	AbstractMultipleLinearRegression.java	newSampleData	cols	int	0	NIL-FOR	j < $
2604	AbstractMultipleLinearRegression.java	newYSampleData	y	double[]	0	NullArgumentException	$ == null
2605	AbstractMultipleLinearRegression.java	newYSampleData	y	double[]	0	NoDataException	$.length == 0
2606	AbstractMultipleLinearRegression.java	newXSampleData	x	double[][]	0	NullArgumentException	$ == null
2607	AbstractMultipleLinearRegression.java	newXSampleData	x	double[][]	0	NoDataException	$.length == 0
13835	AbstractMultipleLinearRegression.java	newXSampleData	x	double[][]	0	NIL-FOR	i < $.length
2610	AbstractMultipleLinearRegression.java	validateSampleData	x	double[][]	0	NullArgumentException	$ == null
2610	AbstractMultipleLinearRegression.java	validateSampleData	y	double[]	0	NullArgumentException	$ == null
2612	AbstractMultipleLinearRegression.java	validateSampleData	x	double[][]	0	NoDataException	$.length == 0
13836	AbstractMultipleLinearRegression.java	estimateRegressionParametersStandardErrors	length	int	0	NIL-FOR	i < $
1249	AbstractMultivariateRealDistribution.java	sample	sampleSize	int	0	NotStrictlyPositiveException	$ <= 0
12514	AbstractMultivariateRealDistribution.java	sample	sampleSize	int	0	NIL-FOR	i < $
3130	AbstractRandomGenerator.java	nextBytes	i	int	0	DEF	$ > 0
3132	AbstractRandomGenerator.java	nextInt	n	int	0	NotStrictlyPositiveException	$ <= 0
3134	AbstractRandomGenerator.java	nextGaussian	s	double	0	DEF	$ != 0
1279	AbstractRealDistribution.java	inverseCumulativeProbability	p	double	0	OutOfRangeException	$ < 0.0
1280	AbstractRealDistribution.java	inverseCumulativeProbability	p	double	0	RET	$ == 0.0
1283	AbstractRealDistribution.java	inverseCumulativeProbability	chebyshevApplies	boolean	1	DEF	$
1285	AbstractRealDistribution.java	inverseCumulativeProbability	chebyshevApplies	boolean	1	DEF	$
1290	AbstractRealDistribution.java	sample	sampleSize	int	0	NotStrictlyPositiveException	$ <= 0
12531	AbstractRealDistribution.java	sample	sampleSize	int	0	NIL-FOR	i < $
12744	AbstractRealMatrix.java	add	rowCount	int	0	NIL-FOR	row < $
12745	AbstractRealMatrix.java	add	columnCount	int	0	NIL-FOR	col < $
12746	AbstractRealMatrix.java	subtract	rowCount	int	0	NIL-FOR	row < $
12747	AbstractRealMatrix.java	subtract	columnCount	int	0	NIL-FOR	col < $
12748	AbstractRealMatrix.java	scalarAdd	rowCount	int	0	NIL-FOR	row < $
12749	AbstractRealMatrix.java	scalarAdd	columnCount	int	0	NIL-FOR	col < $
12750	AbstractRealMatrix.java	scalarMultiply	rowCount	int	0	NIL-FOR	row < $
12751	AbstractRealMatrix.java	scalarMultiply	columnCount	int	0	NIL-FOR	col < $
12752	AbstractRealMatrix.java	multiply	row	int	0	NIL-FOR	$ < nRows
12752	AbstractRealMatrix.java	multiply	nRows	int	0	NIL-FOR	row < $
12753	AbstractRealMatrix.java	multiply	col	int	0	NIL-FOR	$ < nCols
12753	AbstractRealMatrix.java	multiply	nCols	int	0	NIL-FOR	col < $
12754	AbstractRealMatrix.java	multiply	nSum	int	0	NIL-FOR	i < $
1411	AbstractRealMatrix.java	power	p	int	0	NotPositiveException	$ < 0
1413	AbstractRealMatrix.java	power	p	int	0	RET	$ == 0
1414	AbstractRealMatrix.java	power	p	int	0	RET	$ == 1
12755	AbstractRealMatrix.java	power	binaryRepresentation	char[]	0	NIL-FOR	i < $.length
1416	AbstractRealMatrix.java	power	maxI	int	0	DEF	$ == -1
12756	AbstractRealMatrix.java	power	maxI	int	0	NIL-FOR	i <= $
12757	AbstractRealMatrix.java	getData	i	int	0	NIL-FOR	$ < data.length
12757	AbstractRealMatrix.java	getData	data	double[][]	0	NIL-FOR	i < $.length
12758	AbstractRealMatrix.java	getData	dataI	double[]	0	NIL-FOR	j < $.length
12759	AbstractRealMatrix.java	getSubMatrix	endRow	int	0	NIL-FOR	i <= $
12760	AbstractRealMatrix.java	getSubMatrix	endColumn	int	0	NIL-FOR	j <= $
12761	AbstractRealMatrix.java	copySubMatrix	rowsCount	int	0	NIL-FOR	i < $
12762	AbstractRealMatrix.java	copySubMatrix	selectedRows	int[]	0	NIL-FOR	i < $.length
12763	AbstractRealMatrix.java	copySubMatrix	selectedColumns	int[]	0	NIL-FOR	j < $.length
1421	AbstractRealMatrix.java	setSubMatrix	nRows	int	0	NoDataException	$ == 0
1422	AbstractRealMatrix.java	setSubMatrix	nCols	int	0	NoDataException	$ == 0
12764	AbstractRealMatrix.java	setSubMatrix	r	int	0	NIL-FOR	$ < nRows
12765	AbstractRealMatrix.java	setSubMatrix	i	int	0	NIL-FOR	$ < nRows
12765	AbstractRealMatrix.java	setSubMatrix	nRows	int	0	NIL-FOR	i < $
12766	AbstractRealMatrix.java	setSubMatrix	j	int	0	NIL-FOR	$ < nCols
12766	AbstractRealMatrix.java	setSubMatrix	nCols	int	0	NIL-FOR	j < $
12767	AbstractRealMatrix.java	getRowMatrix	i	int	0	NIL-FOR	$ < nCols
12767	AbstractRealMatrix.java	getRowMatrix	nCols	int	0	NIL-FOR	i < $
12768	AbstractRealMatrix.java	setRowMatrix	i	int	0	NIL-FOR	$ < nCols
12768	AbstractRealMatrix.java	setRowMatrix	nCols	int	0	NIL-FOR	i < $
12769	AbstractRealMatrix.java	getColumnMatrix	i	int	0	NIL-FOR	$ < nRows
12769	AbstractRealMatrix.java	getColumnMatrix	nRows	int	0	NIL-FOR	i < $
12770	AbstractRealMatrix.java	setColumnMatrix	i	int	0	NIL-FOR	$ < nRows
12770	AbstractRealMatrix.java	setColumnMatrix	nRows	int	0	NIL-FOR	i < $
12771	AbstractRealMatrix.java	setRowVector	i	int	0	NIL-FOR	$ < nCols
12771	AbstractRealMatrix.java	setRowVector	nCols	int	0	NIL-FOR	i < $
12772	AbstractRealMatrix.java	setColumnVector	i	int	0	NIL-FOR	$ < nRows
12772	AbstractRealMatrix.java	setColumnVector	nRows	int	0	NIL-FOR	i < $
12773	AbstractRealMatrix.java	getRow	i	int	0	NIL-FOR	$ < nCols
12773	AbstractRealMatrix.java	getRow	nCols	int	0	NIL-FOR	i < $
12774	AbstractRealMatrix.java	setRow	i	int	0	NIL-FOR	$ < nCols
12774	AbstractRealMatrix.java	setRow	nCols	int	0	NIL-FOR	i < $
12775	AbstractRealMatrix.java	getColumn	i	int	0	NIL-FOR	$ < nRows
12775	AbstractRealMatrix.java	getColumn	nRows	int	0	NIL-FOR	i < $
12776	AbstractRealMatrix.java	setColumn	i	int	0	NIL-FOR	$ < nRows
12776	AbstractRealMatrix.java	setColumn	nRows	int	0	NIL-FOR	i < $
12777	AbstractRealMatrix.java	getTrace	i	int	0	NIL-FOR	$ < nRows
12777	AbstractRealMatrix.java	getTrace	nRows	int	0	NIL-FOR	i < $
12778	AbstractRealMatrix.java	operate	row	int	0	NIL-FOR	$ < nRows
12778	AbstractRealMatrix.java	operate	nRows	int	0	NIL-FOR	row < $
12779	AbstractRealMatrix.java	operate	i	int	0	NIL-FOR	$ < nCols
12779	AbstractRealMatrix.java	operate	nCols	int	0	NIL-FOR	i < $
12780	AbstractRealMatrix.java	operate	row	int	0	NIL-FOR	$ < nRows
12780	AbstractRealMatrix.java	operate	nRows	int	0	NIL-FOR	row < $
12781	AbstractRealMatrix.java	operate	i	int	0	NIL-FOR	$ < nCols
12781	AbstractRealMatrix.java	operate	nCols	int	0	NIL-FOR	i < $
12782	AbstractRealMatrix.java	preMultiply	col	int	0	NIL-FOR	$ < nCols
12782	AbstractRealMatrix.java	preMultiply	nCols	int	0	NIL-FOR	col < $
12783	AbstractRealMatrix.java	preMultiply	i	int	0	NIL-FOR	$ < nRows
12783	AbstractRealMatrix.java	preMultiply	nRows	int	0	NIL-FOR	i < $
12784	AbstractRealMatrix.java	preMultiply	col	int	0	NIL-FOR	$ < nCols
12784	AbstractRealMatrix.java	preMultiply	nCols	int	0	NIL-FOR	col < $
12785	AbstractRealMatrix.java	preMultiply	i	int	0	NIL-FOR	$ < nRows
12785	AbstractRealMatrix.java	preMultiply	nRows	int	0	NIL-FOR	i < $
12786	AbstractRealMatrix.java	walkInRowOrder	row	int	0	NIL-FOR	$ < rows
12786	AbstractRealMatrix.java	walkInRowOrder	rows	int	0	NIL-FOR	row < $
12788	AbstractRealMatrix.java	walkInRowOrder	row	int	0	NIL-FOR	$ < rows
12788	AbstractRealMatrix.java	walkInRowOrder	rows	int	0	NIL-FOR	row < $
12795	AbstractRealMatrix.java	walkInColumnOrder	row	int	0	NIL-FOR	$ < rows
12795	AbstractRealMatrix.java	walkInColumnOrder	rows	int	0	NIL-FOR	row < $
12797	AbstractRealMatrix.java	walkInColumnOrder	row	int	0	NIL-FOR	$ < rows
12797	AbstractRealMatrix.java	walkInColumnOrder	rows	int	0	NIL-FOR	row < $
12802	AbstractRealMatrix.java	equals	row	int	0	NIL-FOR	$ < nRows
12802	AbstractRealMatrix.java	equals	nRows	int	0	NIL-FOR	row < $
12803	AbstractRealMatrix.java	equals	col	int	0	NIL-FOR	$ < nCols
12803	AbstractRealMatrix.java	equals	nCols	int	0	NIL-FOR	col < $
12804	AbstractRealMatrix.java	hashCode	row	int	0	NIL-FOR	$ < nRows
12804	AbstractRealMatrix.java	hashCode	nRows	int	0	NIL-FOR	row < $
12805	AbstractRealMatrix.java	hashCode	col	int	0	NIL-FOR	$ < nCols
12805	AbstractRealMatrix.java	hashCode	nCols	int	0	NIL-FOR	col < $
593	AbstractRegion.java	AbstractRegion	hyperplanes	Hyperplane<S>[]	1	DEF	$.length == 0
593	AbstractRegion.java	AbstractRegion	hyperplanes	Hyperplane<S>[]	1	DEF	$ == null
12429	AbstractRegion.java	insertCuts	iterator	Iterator<SubHyperplane<S>>	0	NIL-WHILE	$.hasNext()
12429	AbstractRegion.java	insertCuts	inserted	Hyperplane<S>	0	NIL-WHILE	$ == null
596	AbstractRegion.java	insertCuts	iterator	Iterator<SubHyperplane<S>>	0	RET	$.hasNext()
12430	AbstractRegion.java	insertCuts	iterator	Iterator<SubHyperplane<S>>	0	NIL-WHILE	$.hasNext()
599	AbstractRegion.java	getTree	includeBoundaryAttributes	boolean	0	DEF	$
619	AbstractRegion.java	recurseIntersection	plus	SubHyperplane<S>	1	RET	$ == null
620	AbstractRegion.java	recurseIntersection	minus	SubHyperplane<S>	1	RET	$ == null
622	AbstractRegion.java	recurseTransform	attribute	BoundaryAttribute<S>	0	DEF	$ != null
2804	AbstractSimplex.java	AbstractSimplex	steps	double[]	0	NullArgumentException	$ == null
2805	AbstractSimplex.java	AbstractSimplex	steps	double[]	0	ZeroException	$.length == 0
13878	AbstractSimplex.java	AbstractSimplex	THIS	AbstractSimplex	0	NIL-FOR	i < $.dimension
13878	AbstractSimplex.java	AbstractSimplex	i	int	0	NIL-FOR	$ < dimension
13880	AbstractSimplex.java	AbstractSimplex	referenceSimplex	double[][]	0	NIL-FOR	i < $.length
13881	AbstractSimplex.java	AbstractSimplex	i	int	0	NIL-FOR	j < $
13882	AbstractSimplex.java	AbstractSimplex	k	int	0	NIL-FOR	$ < dimension
2810	AbstractSimplex.java	AbstractSimplex	allEquals	boolean	0	MathIllegalArgumentException	$
2811	AbstractSimplex.java	AbstractSimplex	i	int	0	DEF	$ > 0
13883	AbstractSimplex.java	AbstractSimplex	k	int	0	NIL-FOR	$ < dimension
13884	AbstractSimplex.java	build	THIS	AbstractSimplex	0	NIL-FOR	i < $.dimension
13884	AbstractSimplex.java	build	i	int	0	NIL-FOR	$ < dimension
13885	AbstractSimplex.java	build	k	int	0	NIL-FOR	$ < dimension
13887	AbstractSimplex.java	replaceWorstPoint	THIS	AbstractSimplex	0	NIL-FOR	i < $.dimension
13887	AbstractSimplex.java	replaceWorstPoint	i	int	0	NIL-FOR	$ < dimension
2815	AbstractSimplex.java	getPoint	index	int	0	OutOfRangeException	$ < 0
2816	AbstractSimplex.java	setPoint	index	int	0	OutOfRangeException	$ < 0
13888	AbstractSimplex.java	createHypercubeSteps	i	int	0	NIL-FOR	$ < n
13888	AbstractSimplex.java	createHypercubeSteps	n	int	0	NIL-FOR	i < $
1966	AbstractSimplex.java	AbstractSimplex	steps	double[]	0	NullArgumentException	$ == null
1967	AbstractSimplex.java	AbstractSimplex	steps	double[]	0	ZeroException	$.length == 0
13447	AbstractSimplex.java	AbstractSimplex	THIS	AbstractSimplex	0	NIL-FOR	i < $.dimension
13447	AbstractSimplex.java	AbstractSimplex	i	int	0	NIL-FOR	$ < dimension
13449	AbstractSimplex.java	AbstractSimplex	referenceSimplex	double[][]	0	NIL-FOR	i < $.length
13450	AbstractSimplex.java	AbstractSimplex	i	int	0	NIL-FOR	j < $
13451	AbstractSimplex.java	AbstractSimplex	k	int	0	NIL-FOR	$ < dimension
1972	AbstractSimplex.java	AbstractSimplex	allEquals	boolean	0	MathIllegalArgumentException	$
1973	AbstractSimplex.java	AbstractSimplex	i	int	0	DEF	$ > 0
13452	AbstractSimplex.java	AbstractSimplex	k	int	0	NIL-FOR	$ < dimension
13453	AbstractSimplex.java	build	THIS	AbstractSimplex	0	NIL-FOR	i < $.dimension
13453	AbstractSimplex.java	build	i	int	0	NIL-FOR	$ < dimension
13454	AbstractSimplex.java	build	k	int	0	NIL-FOR	$ < dimension
13456	AbstractSimplex.java	replaceWorstPoint	THIS	AbstractSimplex	0	NIL-FOR	i < $.dimension
13456	AbstractSimplex.java	replaceWorstPoint	i	int	0	NIL-FOR	$ < dimension
1977	AbstractSimplex.java	getPoint	index	int	0	OutOfRangeException	$ < 0
1978	AbstractSimplex.java	setPoint	index	int	0	OutOfRangeException	$ < 0
13457	AbstractSimplex.java	createHypercubeSteps	i	int	0	NIL-FOR	$ < n
13457	AbstractSimplex.java	createHypercubeSteps	n	int	0	NIL-FOR	i < $
3391	AbstractStepInterpolator.java	allocateInterpolatedArrays	dimension	int	1	DEF	$ < 0
3397	AbstractStepInterpolator.java	readBaseExternal	dimension	int	1	DEF	$ < 0
2241	AbstractStorelessUnivariateStatistic.java	evaluate	values	double[]	0	NullArgumentException	$ == null
2243	AbstractStorelessUnivariateStatistic.java	incrementAll	values	double[]	0	NullArgumentException	$ == null
13664	AbstractStorelessUnivariateStatistic.java	incrementAll	i	int	0	NIL-FOR	$ < k
13664	AbstractStorelessUnivariateStatistic.java	incrementAll	k	int	0	NIL-FOR	i < $
649	AbstractSubHyperplane.java	recurseTransform	attribute	BoundaryAttribute<T>	0	DEF	$ != null
2364	AbstractUnivariateStatistic.java	setData	values	double[]	0	NullArgumentException	$ == null
2365	AbstractUnivariateStatistic.java	setData	begin	int	0	NotPositiveException	$ < 0
2366	AbstractUnivariateStatistic.java	setData	length	int	0	NotPositiveException	$ < 0
2368	AbstractUnivariateStatistic.java	test	values	double[]	0	NullArgumentException	$ == null
2369	AbstractUnivariateStatistic.java	test	begin	int	0	NotPositiveException	$ < 0
2370	AbstractUnivariateStatistic.java	test	length	int	0	NotPositiveException	$ < 0
2372	AbstractUnivariateStatistic.java	test	length	int	0	RET	$ == 0
2372	AbstractUnivariateStatistic.java	test	allowEmpty	boolean	0	RET	$
2373	AbstractUnivariateStatistic.java	test	values	double[]	0	NullArgumentException	$ == null
2373	AbstractUnivariateStatistic.java	test	weights	double[]	0	NullArgumentException	$ == null
2378	AbstractUnivariateStatistic.java	test	containsPositiveWeight	boolean	0	DEF	$
2379	AbstractUnivariateStatistic.java	test	containsPositiveWeight	boolean	0	MathIllegalArgumentException	$
14164	AbstractWell.java	AbstractWell	r	int	0	NIL-FOR	j < $
3113	AbstractWell.java	setSeed	seed	int[]	0	RET	$ == null
